Neliöt,Hinta,Kaupunginosa,Rakennusvuosi,Tyyppi
62.0,88000,hervanta,1977,Kerrostalo
52.5,98000,rahola,1966,Kerrostalo
87.0,299950,tesoma,2021,Kerrostalo
36.0,138000,tesoma,2021,Kerrostalo
60.0,182300,tesoma,2021,Kerrostalo
61.5,109000,hervanta,1988,Kerrostalo
59.5,154000,hallila,1991,Kerrostalo
27.5,139900,niemenranta,2018,Kerrostalo
44.0,179000,härmälä,2005,Kerrostalo
80.0,149000,kaukajärvi,1967,Kerrostalo
63.0,149500,olkahinen,1987,Rivitalo
53.0,199000,amuri,1955,Kerrostalo
44.0,176000,tesoma,2018,Kerrostalo
80.5,272000,kaleva,1965,Kerrostalo
27.5,149000,janka,2019,Kerrostalo
54.0,94000,hervanta,1978,Kerrostalo
54.0,77750,hervanta,1976,Kerrostalo
86.0,237500,koivistonkylä,1975,Rivitalo
78.0,299900,vuores,2022,Kerrostalo
100.5,409900,vuores,2022,Kerrostalo
100.5,399900,vuores,2022,Kerrostalo
65.5,106000,kohmankaari,1967,Kerrostalo
33.5,95000,peltolammi,1990,Luhtitalo
82.5,232000,hervanta,2006,Rivitalo
124.0,312000,atala,1992,Omakotitalo
160.0,456000,niemi,1995,Omakotitalo
42.5,285000,ratina,2011,Kerrostalo
95.0,150000,vehmainen,1979,Rivitalo
75.5,154000,rautaharkko,1973,Kerrostalo
90.0,139000,lukonmäki,1991,Kerrostalo
41.0,120000,nekala,1941,Kerrostalo
45.0,600000,keskusta,2022,Kerrostalo
79.0,162000,haukiluoma,1984,Rivitalo
69.0,258000,kaleva,1960,Kerrostalo
88.5,249000,viiala,1990,Paritalo
51.5,219500,härmälänranta,2019,Kerrostalo
65.0,100000,haapalinna,1985,Kerrostalo
51.5,112000,kaukajärvi,1970,Kerrostalo
41.0,164900,härmälä,2021,Kerrostalo
36.0,272940,tampella,2020,Kerrostalo
36.0,262760,tampella,2020,Kerrostalo
47.5,360200,tampella,2020,Kerrostalo
36.5,255420,keskusta,2022,Kerrostalo
192.5,369230,keskusta,2022,Kerrostalo
93.5,798430,keskusta,2022,Kerrostalo
40.0,281470,keskusta,2022,Kerrostalo
32.0,237850,keskusta,2021,Kerrostalo
76.5,594850,keskusta,2021,Kerrostalo
34.0,252980,keskusta,2021,Kerrostalo
69.0,582560,keskusta,2021,Kerrostalo
32.0,202290,kaleva,2022,Kerrostalo
39.0,220940,kaleva,2022,Kerrostalo
32.0,181300,kaleva,2022,Kerrostalo
39.0,212490,kaleva,2022,Kerrostalo
35.5,201120,kaleva,2022,Kerrostalo
25.0,149960,pyynikki,2020,Kerrostalo
33.5,201010,pyynikki,2020,Kerrostalo
35.5,191440,pyynikki,2020,Kerrostalo
115.0,566070,pyynikki,2020,Kerrostalo
67.0,385290,keskusta,2020,Kerrostalo
66.5,420480,keskusta,2020,Kerrostalo
68.0,422350,keskusta,2020,Kerrostalo
68.0,455370,keskusta,2020,Kerrostalo
99.0,145000,kalkku,1977,Kerrostalo
48.0,129000,annala,2004,Luhtitalo
29.5,140900,peltolammi,2019,Kerrostalo
29.5,134400,peltolammi,2019,Kerrostalo
20.0,145900,santalahti,2019,Kerrostalo
66.5,218000,vuores,2017,Kerrostalo
60.0,134000,kaukajärvi,1966,Kerrostalo
36.0,228500,tampella,2020,Kerrostalo
62.0,279000,niemenranta,2020,Kerrostalo
68.5,295500,lentävänniemi,2019,Kerrostalo
34.0,159800,hervanta,2021,Kerrostalo
47.0,198500,härmälänranta,2012,Kerrostalo
51.0,229000,pyynikki,1926,Puutalo-osake
